"price","desc","loc"
"Rp 870.000.000","3 KT - 2 KM - 65 m2","Cilangkap, Jakarta Timur"
"Rp 1.349.000.000","3 KT - 2 KM - 75 m2","Cilangkap, Jakarta Timur"
"Rp 240.000.000","2 KT - 1 KM - 30 m2","Pasar Minggu, Jakarta Selatan"
"Rp 1.900.000.000","4 KT - 3 KM - 140 m2","Duren Sawit, Jakarta Timur"
"Rp 275.000.000","2 KT - 1 KM - 36 m2","Pasar Minggu, Jakarta Selatan"
"Rp 3.500.000.000","4 KT - 3 KM - 180 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.900.000.000","3 KT - 3 KM - 250 m2","Duren Sawit, Jakarta Timur"
"Rp 2.600.000.000","4 KT - 4 KM - 135 m2","Pasar Minggu, Jakarta Selatan"
"Rp 895.000.000","3 KT - 2 KM - 71 m2","Cempaka Putih, Jakarta Pusat"
"Rp 4.300.000.000",">10 KT - >10 KM - 378 m2","Kemayoran, Jakarta Pusat"
"Rp 1.100.000.000","2 KT - 2 KM - 90 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 3.000.000.000","4 KT - 3 KM - 200 m2","Duren Sawit, Jakarta Timur"
"Rp 3.250.000.000","3 KT - 3 KM - 180 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 18.500.000.000","7 KT - 6 KM - 550 m2","Jatinegara, Jakarta Timur"
"Rp 1.450.000.000","4 KT - 3 KM - 80 m2","Jatinegara, Jakarta Timur"
"Rp 2.900.000.000","4 KT - 3 KM - 196 m2","Kalideres, Jakarta Barat"
"Rp 1.700.000.000","3 KT - 2 KM - 110 m2","Kalideres, Jakarta Barat"
"Rp 4.300.000.000","4 KT - 4 KM - 200 m2","Cakung, Jakarta Timur"
"Rp 550.000.000","2 KT - 2 KM - 60 m2","Pesanggrahan, Jakarta Selatan"
"Rp 14.500.000.000","6 KT - 5 KM - 200 m2","Cilandak, Jakarta Selatan"
"Rp 654.828.580","3 KT - 2 KM - 84 m2","Jagakarsa, Jakarta Selatan"
"Rp 95.000.000.000","5 KT - 5 KM - 1100 m2","Menteng, Jakarta Pusat"
"Rp 875.000.000","3 KT - 3 KM - 70 m2","Cengkareng, Jakarta Barat"
"Rp 4.200.000.000","5 KT - 3 KM - 250 m2","Kemayoran, Jakarta Pusat"
"Rp 4.900.000.000","4 KT - 3 KM - 205 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 895.000.000","3 KT - 3 KM - 71 m2","Cempaka Putih, Jakarta Pusat"
"Rp 3.475.000.000","5 KT - 4 KM - 287 m2","Cilangkap, Jakarta Timur"
"Rp 1.030.000.000","3 KT - 3 KM - 82 m2","Kemayoran, Jakarta Pusat"
"Rp 841.000.000","2 KT - 2 KM - 68 m2","Cilandak, Jakarta Selatan"
"Rp 2.600.000.000","6 KT - 5 KM - 285 m2","Pademangan, Jakarta Utara"
"Rp 7.000.000.000","4 KT - 3 KM - 325 m2","Cempaka Putih, Jakarta Pusat"
"Rp 4.600.000.000","4 KT - 3 KM - 300 m2","Cilandak, Jakarta Selatan"
"Rp 1.400.000.000","1 KT - 1 KM - 55 m2","Cilangkap, Jakarta Timur"
"Rp 2.100.000.000","6 KT - 3 KM - 170 m2","Cilangkap, Jakarta Timur"
"Rp 1.360.000.000","3 KT - 2 KM - 80 m2","Jagakarsa, Jakarta Selatan"
"Rp 700.000.000","2 KT - 1 KM - 86 m2","Cibubur, Jakarta Timur"
"Rp 799.000.000","3 KT - 4 KM - 110 m2","Kembangan, Jakarta Barat"
"Rp 850.000.000","6 KT - 6 KM - 77 m2","Kebon Jeruk, Jakarta Barat"
"Rp 850.000.000","4 KT - 4 KM - 120 m2","Cipayung, Jakarta Timur"
"Rp 850.000.000","3 KT - 3 KM - 150 m2","Cipayung, Jakarta Timur"
"Rp 1.100.000.000","2 KT - 1 KM - 60 m2","Cipayung, Jakarta Timur"
"Rp 1.620.500.000","3 KT - 3 KM - 103 m2","Matraman, Jakarta Timur"
"Rp 1.200.000",">10 KT - >10 KM - 600 m2","Kembangan, Jakarta Barat"
"Rp 625.000.000","3 KT - 3 KM - 80 m2","Kramat Jati, Jakarta Timur"
"Rp 45.000.000.000",">10 KT - 9 KM - 4800 m2","Pulo Gadung, Jakarta Timur"
"Rp 20.000.000.000",">10 KT - >10 KM - 1100 m2","Gambir, Jakarta Pusat"
"Rp 550.000.000","2 KT - 1 KM - 70 m2","Cipayung, Jakarta Timur"
