"price","desc","loc"
"Rp 1.700.000.000","3 KT - 2 KM - 120 m2","Cibubur, Jakarta Timur"
"Rp 220.000.000","1 KT - 1 KM - 25 m2","Kebon Jeruk, Jakarta Barat"
"Rp 3.850.000.000","5 KT - 4 KM - 185 m2","Setia Budi, Jakarta Selatan"
"Rp 2.650.000.000","4 KT - 4 KM - 288 m2","Tebet, Jakarta Selatan"
"Rp 45.000.000","2 KT - 1 KM - 30 m2","Cibubur, Jakarta Timur"
"Rp 2.769.170.000","3 KT - 2 KM - 87 m2","Tebet, Jakarta Selatan"
"Rp 1.300.000.000","2 KT - 1 KM - 90 m2","Grogol Petamburan, Jakarta Barat"
"Rp 400.000.000","2 KT - 2 KM - 72 m2","Cengkareng, Jakarta Barat"
"Rp 2.800.000.000","1 KT - 4 KM - 250 m2","Grogol Petamburan, Jakarta Barat"
"Rp 750.000.000","3 KT - 1 KM - 64 m2","Palmerah, Jakarta Barat"
"Rp 3.800.000.000","5 KT - 4 KM - 181 m2","Cakung, Jakarta Timur"
"Rp 697.000.000","1 KT - 1 KM - 0 m2","Cibubur, Jakarta Timur"
"Rp 1.200.000.000","1 KT - 1 KM - 0 m2","Cibubur, Jakarta Timur"
"Rp 1.500.000.000","3 KT - 2 KM - 57 m2","Cibubur, Jakarta Timur"
"Rp 6.000.000.000","5 KT - 5 KM - 267 m2","Cibubur, Jakarta Timur"
"Rp 700.000.000","3 KT - 2 KM - 33 m2","Pademangan, Jakarta Utara"
"Rp 1.700.000.000","3 KT - 2 KM - 140 m2","Cibubur, Jakarta Timur"
"Rp 600.000.000","2 KT - 1 KM - 40 m2","Kembangan, Jakarta Barat"
"Rp 6.000.000.000","5 KT - 5 KM - 252 m2","Cibubur, Jakarta Timur"
"Rp 5.500.000.000","7 KT - 5 KM - 225 m2","Tanjung Priok, Jakarta Utara"
"Rp 7.500.000.000","3 KT - 4 KM - 240 m2","Penjaringan, Jakarta Utara"
"Rp 3.300.000.000","3 KT - 3 KM - 120 m2","Penjaringan, Jakarta Utara"
"Rp 1.000.000.000","3 KT - 2 KM - 99 m2","Cibubur, Jakarta Timur"
"Rp 4.773.585.328","5 KT - 5 KM - 250 m2","Cakung, Jakarta Timur"
"Rp 11.600.000.000","5 KT - 5 KM - 700 m2","Cibubur, Jakarta Timur"
"Rp 33.000.000","1 KT - 1 KM - 5200 m2","Penjaringan, Jakarta Utara"
"Rp 1.700.000.000","3 KT - 2 KM - 145 m2","Cibubur, Jakarta Timur"
"Rp 2.600.000","1 KT - 2 KM - 60 m2","Pasar Minggu, Jakarta Selatan"
"Rp 1.000.000.000","2 KT - 1 KM - 70 m2","Cibubur, Jakarta Timur"
"Rp 1.000.000.000","3 KT - 2 KM - 99 m2","Cibubur, Jakarta Timur"
"Rp 1.700.000.000","3 KT - 2 KM - 145 m2","Ciracas, Jakarta Timur"
"Rp 1.500.000.000","7 KT - 2 KM - 90 m2","Menteng, Jakarta Pusat"
"Rp 5.800.000.000","6 KT - 5 KM - 328 m2","Cakung, Jakarta Timur"
"Rp 1.300.000.000","3 KT - 2 KM - 98 m2","Cakung, Jakarta Timur"
"Rp 2.150.000.000","4 KT - 3 KM - 132 m2","Cakung, Jakarta Timur"
